1|reqkey|AORKEY||y||A unique observation identification number||
2|exptime|Exposure time(sec)||y||||
3|chopdist|Chop distance||y||||
4|ncycles|N-cycles||y||||
5|rastermap|Raster map||y||||
6|numrows|Map rows||y||||
7|numcols|Map columns||y||||
8|rowstepsize|Map row step||y||||
9|colstepsize|Map col step||y||||
10|mapcycles|Map cycles||y||||
11|qacomments|QA comments||y||||
12|campid|Campaign ID||n||||
13|campname|Campaign name||y||||
