1|targetname|Target name||y||||
2|raj2000|RA (J2000)||y||||
3|decj2000|Dec (J2000)||y||||
4|naifid|NAIF ID||y||||
5|modedisplayname|Instrument/Mode||y||||
6|reqkey|AORKEY||y||||
7|reqtitle|AOR label||y||||
8|reqbegintime|Observation start time||y||||
9|reqendtime|Observation end time||y||||
10|progid|Program ID||y||||
11|pi|PI||y||||
12|releasedate|Release date||n||||
13|depthofcoverage|DoC file||n||||
14|reqmode|AOT/IER mode||n||||
