missionId,project,subProject,surveyKey,acronym,wavebandId,imageId,title,wavelength,wavelengthDesc,waveType,projectTypeKey,projectTypeDesc,minRangeDeg,maxRangeDeg,helpUrl,tooltip,apiType,filter,dataType,defaultRgbColor
Spitzer,LVL: Spitzer Local Volume Legacy Survey,Spitzer,spitzer.lvl_mips,LVL  MIPS24,MIPS24,,MIPS24 (24 microns),24,24 microns,mid-IR,extragalactic,extragalactic,,12.5,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#LVL,LVL MIPS 24 microns,ATLAS,file_type='science',image,
Spitzer,LVL: Spitzer Local Volume Legacy Survey,Spitzer,spitzer.lvl_mips,LVL  MIPS70,MIPS70,,MIPS70 (70 microns),70,70 microns,far-IR,extragalactic,extragalactic,,12.5,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#LVL,LVL MIPS 70 microns,ATLAS,file_type='science',image,
Spitzer,LVL: Spitzer Local Volume Legacy Survey,Spitzer,spitzer.lvl_mips,LVL  MIPS160,MIPS160,,MIPS160 (160 microns),160,160 microns,far-IR,extragalactic,extragalactic,,12.5,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#LVL,LVL MIPS 160 microns,ATLAS,file_type='science' and fname  NOT like '%crop%',image,
Spitzer,M31IRAC: IRAC Observations of the Extended Disk and Halo of M31,Spitzer,spitzer.m31irac_image,M31IRAC  IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#M31IRAC,M31  IRAC 3.6 microns,ATLAS,file_type='science',image,
Spitzer,M31IRAC: IRAC Observations of the Extended Disk and Halo of M31,Spitzer,spitzer.m31irac_image,M31IRAC  IRAC2,IRAC2,, IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#M31IRAC,M31   IRAC4.5 microns,ATLAS,file_type='science',image,
Spitzer,MIPS_LG: MIPS Local Galaxies ,Spitzer,spitzer.mips_lg_images,MIPS_LG  MIPS24,MIPS24,, MIPS24 (24 microns),24,24 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#MIPS_LG,MIPS LG MIPS 24  microns,ATLAS,file_type='science',image,
Spitzer,MIPS_LG: MIPS Local Galaxies ,Spitzer,spitzer.mips_lg_images,MIPS_LG  MIPS70,MIPS70,, MIPS70 (70 microns),70,70 microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#MIPS_LG,MIPS LG MIPS 70  microns,ATLAS,file_type='science',image,
Spitzer,MIPS_LG: MIPS Local Galaxies ,Spitzer,spitzer.mips_lg_images,MIPS_LG  MIPS160,MIPS160,, MIPS160 (160 microns),160,160  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#MIPS_LG,MIPS LG MIPS 160  microns,ATLAS,file_type='science',image,
Spitzer,MIPSGAL: A 24 and 70 Micron Survey of the Inner Galactic Disk with MIPS,Spitzer,spitzer.mipsgal_images,MIPSGAL  MIPS24,MIPS24,, MIPS24 (24 microns),24,24 microns,mid-IR,galactic,galactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#MIPSGAL,MIPSGAL MIPS 24 microns,ATLAS,file_type='science' and fname  NOT like '%resid%',image,
Spitzer,S-CANDELS: Spitzer-Cosmic Assembly Deep Near-Infrared Extragalactic Legacy Survey,Spitzer,spitzer.s_candels_images,S-CANDELS  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#S-CANDELS,S-CANDELS IRAC ch1 3.6 microns,ATLAS,file_type='science',,
Spitzer,S-CANDELS: Spitzer-Cosmic Assembly Deep Near-Infrared Extragalactic Legacy Survey,Spitzer,spitzer.s_candels_images,S-CANDELS  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#S-CANDELS,S-CANDELS IRAC ch1 4.5 microns,ATLAS,file_type='science',,
Spitzer,S4G: Spitzer Survey of Stellar Structure in Galaxies,Spitzer,spitzer.s4g_images,S4G  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#S4G,S4G IRAC ch1 3.6 microns,ATLAS,file_type='science' and fname like '%.phot.1.fits%',,
Spitzer,S4G: Spitzer Survey of Stellar Structure in Galaxies,Spitzer,spitzer.s4g_images,S4G  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#S4G,S4G IRAC ch2 4.5 microns,ATLAS,file_type='science' and fname like '%.phot.2.fits%',,
Spitzer,SAFIRES: Spitzer Archival FIR Extragalactic Survey,Spitzer,spitzer.safires_science,SAFIRES  MIPS70,MIPS70,, MIPS70 (70 microns),70,70  microns,far-IR,extragalactic,extragalactic,,0.6,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAFIRES,SAFIRES MIPS 70 microns,ATLAS,file_type='science' and fname like '%.mosaic.fits',image,
Spitzer,SAFIRES: Spitzer Archival FIR Extragalactic Survey,Spitzer,spitzer.safires_science,SAFIRES  MIPS160,MIPS160,, MIPS160 (160 microns),160,160  microns,far-IR,extragalactic,extragalactic,,0.6,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAFIRES,SAFIRES MIPS 70 microns,ATLAS,file_type='science' and fname like '%.mosaic.fits',image,
Spitzer,SAGE: Surveying the Agents of a Galaxy's Evolution,Spitzer,spitzer.sage_irac_tiles ,SAGE  IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE IRAC 3.6 microns,ATLAS,file_type='science' and fname like '%0.6_mosaic%',image,
Spitzer,"SAGE: Surveying the Agents of a Galaxy's Evolution	",Spitzer,spitzer.sage_irac_tiles,SAGE  IRAC2,IRAC2,, IRAC2 (4.5 microns),4.5,4.5  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE IRAC 4.5  microns,ATLAS,file_type='science' and fname like '%0.6_mosaic%',image,
Spitzer,"SAGE: Surveying the Agents of a Galaxy's Evolution	",Spitzer,spitzer.sage_irac_tiles ,SAGE  IRAC3,IRAC3,, IRAC3 (5.8 microns),5.8,5.8  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE IRAC 5.8  microns,ATLAS,file_type='science' and fname like '%0.6_mosaic%',image,
Spitzer,"SAGE: Surveying the Agents of a Galaxy's Evolution	",Spitzer,spitzer.sage_irac_tiles,SAGE  IRAC4,IRAC4,, IRAC4 (8.0 microns),8,8.0 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE IRAC 8.0  microns,ATLAS,file_type='science' and fname like '%0.6_mosaic%',image,
Spitzer,"SAGE: Surveying the Agents of a Galaxy's Evolution	",Spitzer,spitzer.sage_mips_tiles,SAGE  MIPS24,MIPS24,, MIPS24 (24 microns),24,24 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE MIPS 24 microns,ATLAS,file_type='science' and fname not like '%residual.fits',image,
Spitzer,"SAGE: Surveying the Agents of a Galaxy's Evolution	",Spitzer,spitzer.sage_mips_mos,SAGE  MIPS70,MIPS70,,  MIPS70 (70 microns),70,70 microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE MIPS 70  microns,ATLAS,file_type='science' and fname not like '%residual.fits',image,
Spitzer,"SAGE: Surveying the Agents of a Galaxy's Evolution	",Spitzer,spitzer.sage_mips_mos,SAGE  MIPS160,MIPS160,, MIPS160 (160 microns),160,160  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE,SAGE MIPS 160  microns,ATLAS,file_type='science' and fname not like '%residual.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_irac,SAGE-SMC  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC IRAC 3.6 microns,ATLAS,file_type='science' and fname like '%1.2_mosaic.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_irac,SAGE-SMC  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC IRAC 4.5 microns,ATLAS,file_type='science' and fname like '%1.2_mosaic.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_irac,SAGE-SMC  IRAC3,IRAC3,,IRAC3 (5.8 microns),5.8,5.8  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC IRAC 5.8 microns,ATLAS,file_type='science' and fname like '%1.2_mosaic.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_irac,SAGE-SMC  IRAC4,IRAC4,,IRAC4 (8.0 microns),8,8.0  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC IRAC 8.0 microns,ATLAS,file_type='science' and fname like '%1.2_mosaic.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_mips,SAGE-SMC  MIPS24,MIPS24,,MIPS24 (24 microns),24,24  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC MIPS 24 microns,ATLAS,file_type='science' and fname like '%_E012.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_mips,SAGE-SMC  MIPS70,MIPS70,,MIPS70 (70 microns),70,70  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC MIPS 70 microns,ATLAS,file_type='science' and fname like '%_E012.fits',image,
Spitzer,"SAGE-SMC: Surveying the Agents of Galaxy Evolution in the Tidally-Disrupted, Low-Metallicity Small Magellanic Cloud",Spitzer,spitzer.sage_smc_mips,SAGE-SMC  MIPS160,MIPS160,,MIPS160 (160 microns),160,160  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SAGE-SMC,SAGE_SMAC MIPS 160 microns,ATLAS,file_type='science' and fname like '%_E012.fits',image,
Spitzer,"SDWFS: Spitzer Deep, Wide-Field Survey",Spitzer,spitzer.sdwfs_combined ,SDWFS  IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SDWFS,SDWFS IRAC 3.6 microns,ATLAS,file_type='science',image,
Spitzer,"SDWFS: Spitzer Deep, Wide-Field Survey",Spitzer,spitzer.sdwfs_combined ,SDWFS  IRAC2,IRAC2,,  IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SDWFS,SDWFS IRAC 4.5 microns,ATLAS,file_type='science',image,
Spitzer,"SDWFS: Spitzer Deep, Wide-Field Survey",Spitzer,spitzer.sdwfs_combined ,SDWFS  IRAC3,IRAC3,,IRAC3 (5.8 microns),5.8,5.8 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SDWFS,SDWFS IRAC 5.8 microns,ATLAS,file_type='science',image,
Spitzer,"SDWFS: Spitzer Deep, Wide-Field Survey",Spitzer,spitzer.sdwfs_combined ,SDWFS  IRAC4,IRAC4,, IRAC4 (8.0 microns),8,8.0 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SDWFS,SDWFS IRAC 8.0 microns,ATLAS,file_type='science',image,
Spitzer,"SEP: Spitzer MIPS 24 and 70 micron Imaging of the South Ecliptic Pole	",Spitzer,spitzer.sep_images,SEP  MIPS24,MIPS24,, MIPS24 (24 microns),24,24  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SEP,SEP MIPS 24 microns,ATLAS,file_type='science',image,
Spitzer,"SEP: Spitzer MIPS 24 and 70 micron Imaging of the South Ecliptic Pole	",Spitzer,spitzer.sep_images,SEP  MIPS70,MIPS70,, MIPS70 (70 microns),70,70  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SEP,SEP MIPS 70 microns,ATLAS,file_type='science',image,
Spitzer,SERVS: Spitzer Extragalactic Representative Volume Survey,Spitzer,spitzer.servs_images,SERVS  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SERVS,SERVS IRAC ch1 3.6 microns,ATLAS,file_type='science' and fname like '%.mosaic.fits',,
Spitzer,SERVS: Spitzer Extragalactic Representative Volume Survey,Spitzer,spitzer.servs_images,SERVS  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SERVS,SERVS IRAC ch2 4.5 microns,ATLAS,file_type='science' and fname like '%.mosaic.fits',,
Spitzer,SHELA: Spitzer/HETDEX Exploratory Large-Area survey,Spitzer,spitzer.shela_images,SHELA  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SHELA,SHELA IRAC ch1 3.6 microns,ATLAS,file_type='science' and fname not like '%ep',,
Spitzer,SHELA: Spitzer/HETDEX Exploratory Large-Area survey,Spitzer,spitzer.shela_images,SHELA  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SHELA,SHELA IRAC ch2 4.5 microns,ATLAS,file_type='science' and fname not like '%ep',,
Spitzer,SIMPLE: Spitzer IRAC/MUSYC Public Legacy Survey in the Extended Chandra Deep Field South,Spitzer,spitzer.simple_images_images,SIMPLE  IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SIMPLE,SIMPLE IRAC 3.6 microns,ATLAS,file_type='science',image,
Spitzer,SIMPLE: Spitzer IRAC/MUSYC Public Legacy Survey in the Extended Chandra Deep Field South,Spitzer,spitzer.simple_images_images,SIMPLE  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SIMPLE,SIMPLE IRAC 4.5 microns,ATLAS,file_type='science',image,
Spitzer,SIMPLE: Spitzer IRAC/MUSYC Public Legacy Survey in the Extended Chandra Deep Field South,Spitzer,spitzer.simple_images_images,SIMPLE  IRAC3,IRAC3,, IRAC3 (5.8 microns),5.8,5.8  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SIMPLE,SIMPLE IRAC 5.8  microns,ATLAS,file_type='science',image,
Spitzer,SIMPLE: Spitzer IRAC/MUSYC Public Legacy Survey in the Extended Chandra Deep Field South,Spitzer,spitzer.simple_images_images,SIMPLE  IRAC4,IRAC4,, IRAC4 (8.0 microns),8,8.0  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SIMPLE,SIMPLE IRAC 8.0 microns,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Optical,spitzer.sings_images,SINGS  B,B,,B (4300 Angstroms),0.43,4300 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS B 4300 Angstroms,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Optical,spitzer.sings_images,SINGS  V,V,,V (5480 Angstroms),0.548,5480 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS V 5480 Angstroms,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Optical,spitzer.sings_images,SINGS  Halpha,Halpha,,Halpha (6585 Angstroms),0.6585,6585 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS Halpha 6585 Angstroms,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Optical,spitzer.sings_images,SINGS  NII,NII,,NII (6585 Angstroms),0.6585,6585 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS NII 6585 Angstroms,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Optical,spitzer.sings_images,SINGS  R,R,,R (7000 Angstroms),0.7,7000 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS R 7000 Angstroms,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Optical,spitzer.sings_images,SINGS  I,I,,I (9000 Angstroms),0.9,9000 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS I 9000 Angstroms,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS IRAC 3.6 microns,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS IRAC 4.5 microns,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  IRAC3,IRAC3,,IRAC3 (5.8 microns),5.8,5.8  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS IRAC 5.8 microns,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  IRAC4,IRAC4,,IRAC4 (8.0 microns),8,8.0  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS IRAC 8.0 microns,ATLAS,file_type='science',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  MIPS24,MIPS24,,MIPS24 (24 microns),24,24  microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS MIPS 24 microns,ATLAS,file_type='science' and fname  NOT like '%crop%',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  MIPS70,MIPS70,,MIPS70 (70 microns),70,70  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS MIPS 70 microns,ATLAS,file_type='science' and fname  NOT like '%crop%',image,
Spitzer,SINGS: The Spitzer Infrared Nearby Galaxies Survey ,Spitzer,spitzer.sings_images,SINGS  MIPS160,MIPS160,,MIPS160 (160 microns),160,160  microns,far-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SINGS,SINGS MIPS 160 microns,ATLAS,file_type='science' and fname  NOT like '%crop%',image,
Spitzer,SMUVS: Spitzer Matching Survey of the Ultra-VISTA Deep Stripes,Spitzer,spitzer.smuvs_images,SMUVS  IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SMUVS,SMUVS IRAC 3.6 microns,ATLAS,file_type='science',image,
Spitzer,SMUVS: Spitzer Matching Survey of the Ultra-VISTA Deep Stripes,Spitzer,spitzer.smuvs_images,SMUVS  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SMUVS,SMUVS IRAC 4.5 microns,ATLAS,file_type='science',image,
Spitzer,SpIES: Spitzer IRAC Equatorial Survey,Spitzer,spitzer.spies_images,SpIES  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpIES,SpIES IRAC ch1 3.6 microns,ATLAS,file_type='science' and fname like '%Combined%.fits',,
Spitzer,SpIES: Spitzer IRAC Equatorial Survey,Spitzer,spitzer.spies_images,SpIES  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpIES,SpIES IRAC ch2 4.5 microns,ATLAS,file_type='science' and fname like '%Combined%.fits',,
Spitzer,SpUDS: Spitzer Public Legacy Survey of the UKIDSS Ultra Deep Survey ,Spitzer,spitzer.spuds_images,SpUDS  IRAC1,IRAC1,,IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpUDS,SpUDS IRAC 3.6 microns,ATLAS,file_type='science',image,
Spitzer,SpUDS: Spitzer Public Legacy Survey of the UKIDSS Ultra Deep Survey ,Spitzer,spitzer.spuds_images,SpUDS  IRAC2,IRAC2,,IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpUDS,SpUDS IRAC 4.5 microns,ATLAS,file_type='science',image,
Spitzer,SpUDS: Spitzer Public Legacy Survey of the UKIDSS Ultra Deep Survey ,Spitzer,spitzer.spuds_images,SpUDS  IRAC3,IRAC3,, IRAC3 (5.8 microns),5.8,5.8 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpUDS,SpUDS IRAC 5.8 microns,ATLAS,file_type='science',image,
Spitzer,SpUDS: Spitzer Public Legacy Survey of the UKIDSS Ultra Deep Survey ,Spitzer,spitzer.spuds_images,SpUDS  IRAC4,IRAC4,, IRAC4 (8.0 microns),8,8.0 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpUDS,SpUDS IRAC 8.0 microns,ATLAS,file_type='science',image,
Spitzer,SpUDS: Spitzer Public Legacy Survey of the UKIDSS Ultra Deep Survey ,Spitzer,spitzer.spuds_images,SpUDS  MIPS24,MIPS24,, MIPS24 (24 microns),24,24 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SpUDS,SpUDS MIPS 24 microns,ATLAS,file_type='science',image,
Spitzer,SSDF: The SPT-Spitzer Deep Field ,Spitzer,spitzer.ssdf_images,SSDF  IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SSDF,SSDF 3.6 microns,ATLAS,file_type='science',image,
Spitzer,SSDF: The SPT-Spitzer Deep Field ,Spitzer,spitzer.ssdf_images,SSDF  IRAC2,IRAC2,, IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SSDF,SSDF 4.5 microns,ATLAS,file_type='science',image,
Spitzer,SRELICS: Spitzer Reionization Lensing Cluster Survey,Spitzer,spitzer.srelics_images,SRELICS IRAC1,IRAC1,, IRAC1 (3.6 microns),3.6,3.6 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SRELICS,SRELICS 3.6 microns,ATLAS,file_type='science' and fname like '%drz.fits%',image,
Spitzer,SRELICS: Spitzer Reionization Lensing Cluster Survey,Spitzer,spitzer.srelics_images,SRELICS IRAC2,IRAC2,, IRAC2 (4.5 microns),4.5,4.5 microns,mid-IR,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SRELICS,SRELICS 4.5 microns,ATLAS,file_type='science' and fname like '%drz.fits%',image,
Spitzer,"SWIRE: Spitzer Wide-area InfraRed Extragalactic Survey	",Optical,spitzer.swire_images,SWIRE  U (3552 Angstroms),U,,U (3552 Angstroms),0.3552,3552 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SWIRE,SWIRE U 3552 Angstroms,ATLAS,file_type='science',image,
Spitzer,"SWIRE: Spitzer Wide-area InfraRed Extragalactic Survey	",Optical,spitzer.swire_images,SWIRE  u (3624 Angstroms),u,,u (3624 Angstroms),0.3624,3552 Angstroms,optical,extragalactic,extragalactic,,,https://irsa.ipac.caltech.edu/docs/irsaviewer_datasets.html#SWIRE,SWIRE u 3624 Angstroms,ATLAS,file_type='science',image,
